TimeID,Date,Day,Month,Quarter,Year,IsWeekend
223,2019-08-11,11,8,3,2019,TRUE
224,2019-08-12,12,8,3,2019,FALSE
225,2019-08-13,13,8,3,2019,FALSE
226,2019-08-14,14,8,3,2019,FALSE
227,2019-08-15,15,8,3,2019,FALSE
228,2019-08-16,16,8,3,2019,FALSE
229,2019-08-17,17,8,3,2019,TRUE
230,2019-08-18,18,8,3,2019,TRUE
231,2019-08-19,19,8,3,2019,FALSE
232,2019-08-20,20,8,3,2019,FALSE
233,2019-08-21,21,8,3,2019,FALSE
234,2019-08-22,22,8,3,2019,FALSE
235,2019-08-23,23,8,3,2019,FALSE
236,2019-08-24,24,8,3,2019,TRUE
237,2019-08-25,25,8,3,2019,TRUE
238,2019-08-26,26,8,3,2019,FALSE
239,2019-08-27,27,8,3,2019,FALSE
240,2019-08-28,28,8,3,2019,FALSE
241,2019-08-29,29,8,3,2019,FALSE
242,2019-08-30,30,8,3,2019,FALSE
243,2019-08-31,31,8,3,2019,TRUE
244,2019-09-01,1,9,3,2019,TRUE
245,2019-09-02,2,9,3,2019,FALSE
246,2019-09-03,3,9,3,2019,FALSE
247,2019-09-04,4,9,3,2019,FALSE
248,2019-09-05,5,9,3,2019,FALSE
249,2019-09-06,6,9,3,2019,FALSE
250,2019-09-07,7,9,3,2019,TRUE
251,2019-09-08,8,9,3,2019,TRUE
252,2019-09-09,9,9,3,2019,FALSE
253,2019-09-10,10,9,3,2019,FALSE
254,2019-09-11,11,9,3,2019,FALSE
255,2019-09-12,12,9,3,2019,FALSE
256,2019-09-13,13,9,3,2019,FALSE
257,2019-09-14,14,9,3,2019,TRUE
258,2019-09-15,15,9,3,2019,TRUE
259,2019-09-16,16,9,3,2019,FALSE
260,2019-09-17,17,9,3,2019,FALSE
261,2019-09-18,18,9,3,2019,FALSE
262,2019-09-19,19,9,3,2019,FALSE
263,2019-09-20,20,9,3,2019,FALSE
264,2019-09-21,21,9,3,2019,TRUE
265,2019-09-22,22,9,3,2019,TRUE
266,2019-09-23,23,9,3,2019,FALSE
267,2019-09-24,24,9,3,2019,FALSE
268,2019-09-25,25,9,3,2019,FALSE
269,2019-09-26,26,9,3,2019,FALSE
270,2019-09-27,27,9,3,2019,FALSE
271,2019-09-28,28,9,3,2019,TRUE
272,2019-09-29,29,9,3,2019,TRUE
273,2019-09-30,30,9,3,2019,FALSE
274,2019-10-01,1,10,4,2019,FALSE
275,2019-10-02,2,10,4,2019,FALSE
276,2019-10-03,3,10,4,2019,FALSE
277,2019-10-04,4,10,4,2019,FALSE
278,2019-10-05,5,10,4,2019,TRUE
279,2019-10-06,6,10,4,2019,TRUE
280,2019-10-07,7,10,4,2019,FALSE
281,2019-10-08,8,10,4,2019,FALSE
282,2019-10-09,9,10,4,2019,FALSE
283,2019-10-10,10,10,4,2019,FALSE
284,2019-10-11,11,10,4,2019,FALSE
285,2019-10-12,12,10,4,2019,TRUE
286,2019-10-13,13,10,4,2019,TRUE
287,2019-10-14,14,10,4,2019,FALSE
288,2019-10-15,15,10,4,2019,FALSE
